geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010
"c(-122.031221, 47.613559)",98074,11609,53,53033032214,530423001141,1.88544,1.71807,0.062890001,1.67957,1.82505,1.81251,1.7001801,0.007,0.634,0.024,0.01568,0.756,0.4232
"c(-122.21315, 48.150119)",98223,11706,53,53061053102,530426002117,1.52608,1.2119499,0.051830001,1.21005,1.46092,1.46841,1.19103,0.006,0.827,0.048,0.01424,0.2015,0.0986
"c(-122.9363, 46.1448)",98632,11200,53,53015000400,530447000703,1.34472,1.1095901,0.07638,0.99307001,1.08171,1.01464,0.97215003,0.007,0.858,0.031,0.01565,0.2513,0.1022
"c(-122.9567, 46.14)",98632,11200,53,53015000602,530447000709,1.18767,1.03767,0.092270002,0.94230998,0.89385003,0.89162999,0.92492002,0.007,0.858,0.031,0.01565,0.2084,0.1044
"c(-121.9524, 47.7357)",98019,11616,53,53033032401,530456000716,1.6741,1.31227,0.066820003,1.2664,1.56731,1.61857,1.25009,0.005,0.801,0.026,0.016489999,0.4459,0.1246
"c(-122.4279, 48.9522)",98264,10100,53,53073010303,530462002259,1.49542,1.28608,0.057519998,1.18872,1.22427,1.26336,1.2128299,0.004,0.832,0.042,0.02187,0.282,0.1619
"c(-122.198435, 48.06268)",98271,11706,53,53061940001,530486003102,1.43794,1.08789,0.061840001,1.06951,1.38007,1.3791699,1.0930001,0.006,0.827,0.048,0.0059600002,0.1914,0.3519
"c(-122.154672, 48.096689)",98271,11706,53,53061052804,530486003317,1.51439,1.14894,0.055190001,1.09112,1.39711,1.4043,1.09438,0.006,0.827,0.048,0.0059600002,0.1117,0.2363
"c(-122.119465, 48.07498)",98270,11706,53,53061052709,530486003607,1.6059,1.1558599,0.041080002,1.10358,1.55726,1.58462,1.13221,0.006,0.827,0.048,0.0083499998,0.1949,0.2185
"c(-117.4143, 47.77)",99218,10501,53,53063010501,530492000749,1.51044,1.4127001,0.052439999,1.3581001,1.27555,1.24282,1.3594199,0.02,0.859,0.018,0.01416,0.3411,0.1061
"c(-117.3233, 47.7885)",99021,10504,53,53063010202,530492002599,1.39211,1.32559,0.046270002,1.22821,1.14836,1.10331,1.22505,0.006,0.879,0.031,0.016559999,0.4023,0.059
"c(-117.680823, 47.576223)",99022,10504,53,53063013900,530495000755,1.21845,1.11444,0.088330001,1.09117,1.0179501,1.0411299,1.07892,0.006,0.879,0.031,0.01233,0.2324,0.1323
"c(-122.2193, 47.5718)",98040,11609,53,53033024500,530498000761,1.88375,1.60698,0.091629997,1.55861,1.83647,1.80053,1.59232,0.007,0.634,0.024,0.021709999,0.815,0.2289
"c(-122.4916, 48.8561)",98226,10100,53,53073010600,530501000768,1.4237899999999999,1.24151,0.083659999,1.11077,1.22903,1.27915,1.14299,0.004,0.832,0.042,0.01198,0.2451,0.1898
"c(-122.009827, 47.843364)",98272,11705,53,53061052209,530513002760,1.63239,1.31847,0.04496,1.22966,1.51141,1.5499001,1.22975,0.004,0.88,0.039,0.01443,0.1086,0.3434
"c(-119.265826, 47.111943)",98837,10800,53,53025011000,530522000792,1.32433,1.26977,0.035270002,1.08681,0.98017001,0.88568997,1.0676,0.012,0.791,0.113,0.0098999999,0.2013,0.2763
"c(-122.220896, 48.825771)",98244,10100,53,53073010100,530531000803,1.20278,1.00379,0.09381,0.88080001,0.94445997,0.93835002,0.89174002,0.004,0.832,0.042,0.0098000001,0.1746,0.1443
"c(-120.4054, 46.575)",98901,10902,53,53077001702,530537000805,1.27158,1.16224,0.036460001,1.05768,1.0499901,1.07811,1.08217,0,0.571,0.324,0.02396,0.117,0.4275
"c(-122.327092, 48.423352)",98273,10200,53,53057952302,530540000813,1.30804,1.17749,0.044330001,0.97249001,0.95441997,0.86944997,0.92650002,0.005,0.892,0.029,0.02355,0.245,0.3907
"c(-122.2361, 47.8883)",98204,11703,53,53061041808,530543000818,1.27495,0.73000997,0.045419998,0.69433999,1.15352,1.14843,0.67874998,0.03,0.737,0.068,0.0057899999,0.1604,0.3546
"c(-122.3019, 47.9017)",98275,11702,53,53061042006,530543001188,1.68339,1.38943,0.051589999,1.32827,1.59328,1.60393,1.33968,0.039,0.711,0.053,0.01308,0.4196,0.3919
"c(-120.7034, 46.7361)",98937,10902,53,53077003002,530546000825,1.2826101,1.2269,0.050639998,1.1662,1.09104,1.08325,1.19801,0,0.571,0.324,0.01475,0.1944,0.1701
"c(-117.0621, 48.1771)",99156,10400,53,53051970300,530561000833,0.92755002,0.93471003,0.02973,0.86616999,0.68101001,0.71148998,0.90873998,0,0.795,0.033,0.01778,0.1617,0.0894
"c(-117.558724, 47.809088)",99026,10400,53,53065951400,530564002321,1.3045599,1.26819,0.058060002,1.21865,1.1022201,1.09126,1.21394,0,0.795,0.033,0.01523,0.2368,0.0866
"c(-122.307397, 48.964666)",98247,10100,53,53073010200,530567000839,1.21305,1.13656,0.05782,1.02644,0.95451999,0.93703002,1.0482399,0.004,0.832,0.042,0.01212,0.1462,0.1945
"c(-118.872644, 46.662227)",99326,10703,53,53021020800,530573000848,1.36773,1.1179301,0.03114,0.88278002,1.0896,1.06642,0.79990000000000006,0.009,0.842,0.095,0.01589,0.047,0.5676
"c(-122.6255, 47.7344)",98370,11801,53,53035090502,530576000852,1.4708,1.3787,0.074759997,1.34206,1.2278301,1.12968,1.32213,0.017,0.817,0.029,0.016380001,0.4279,0.229
"c(-122.5202, 47.8)",98346,11801,53,53035090102,530576003201,1.32969,1.29299,0.077859998,1.2360801,1.1554,1.1780699,1.24537,0.017,0.817,0.029,0.028170001,0.4361,0.1187
"c(-122.840033, 47.415548)",98528,11300,53,53045960400,530579000859,1.0843,1.08839,0.056480002,1.0149,0.87901998,0.85756999,1.04526,0.002,0.835,0.038,0.017240001,0.2139,0.1203
"c(-122.8324, 47.052)",98516,11401,53,53067012212,530585000869,1.36735,1.28715,0.05917,1.18455,1.09474,1.03747,1.17694,0.025,0.831,0.027,0.0089299995,0.2956,0.2687
"c(-122.8006, 47.0081)",98503,11401,53,53067011420,530585000872,1.28132,1.25394,0.071079999,1.1875,1.07086,1.04963,1.20767,0.025,0.831,0.027,0.01691,0.3072,0.2612
"c(-122.7519, 47.0561)",98503,11401,53,53067012330,530585001208,1.24901,1.17958,0.059330001,1.11482,1.018,0.97924,1.09788,0.025,0.831,0.027,0.01691,0.1764,0.3959
"c(-122.2191, 47.7606)",98011,11606,53,53033021803,530591000876,1.72743,1.40897,0.053270001,1.36742,1.64914,1.64267,1.3722301,0.017,0.767,0.036,0.02445,0.4281,0.2132
"c(-122.2225, 47.7407)",98028,11606,53,53033022102,530591000884,1.80998,1.35937,0.067599997,1.31848,1.7377,1.73269,1.31091,0.017,0.767,0.036,0.01223,0.6221,0.2417
"c(-122.1619, 47.7712)",98072,11606,53,53033021802,530591001994,1.80372,1.40684,0.061960001,1.36417,1.71649,1.73669,1.38863,0.017,0.767,0.036,0.0243,0.5213,0.3185
"c(-122.6683, 48.3017)",98277,10200,53,53029970601,530594000903,1.28004,1.25539,0.06346,1.206,1.0347199,0.99212998,1.1853499,0.005,0.892,0.029,0.01412,0.158,0.3644
"c(-124.040127, 46.313809)",98624,11200,53,53049950500,530606002528,1.07031,0.83745003,0.062490001,0.74467999,0.80993003,0.77978998,0.72026002,0.007,0.858,0.031,0.032090001,0.286,0.0954
"c(-124.10024, 46.863504)",98595,11300,53,53027001600,530609000914,0.99254,0.99489999,0.048689999,0.86439002,0.74214,0.78635001,0.90455002,0.002,0.835,0.038,0.026520001,0.1129,0.2034
"c(-119.5853, 48.365)",98840,10400,53,53047970700,530615000920,0.92457002,0.87142003,0.10437,0.74008,0.76389003,0.80326998,0.79413998,0,0.795,0.033,0.032109998,0.1546,0.2667
"c(-122.9355, 47.0506)",98502,11401,53,53067010600,530618000923,1.57561,1.41088,0.078879997,1.31086,1.325,1.23704,1.31839,0.025,0.831,0.027,0.01626,0.4682,0.2277
"c(-122.8847, 47.0182)",98501,11401,53,53067010400,530618000937,1.6217099,1.46732,0.092809997,1.3976001,1.4009,1.31347,1.40589,0.025,0.831,0.027,0.04273,0.6267,0.1207
"c(-119.5345, 48.409487)",98841,10400,53,53047970600,530622000940,0.95674998,0.8441,0.068070002,0.69499999,0.59354001,0.57725,0.70981997,0,0.795,0.033,0.01063,0.1776,0.2417
"c(-122.718714, 46.581746)",98570,11000,53,53041971800,530624000942,0.89664,0.78319001,0.083319999,0.72600001,0.73539001,0.72878999,0.77103001,0.002,0.874,0.03,0.01532,0.1294,0.0869
"c(-122.902922, 48.699133)",98245,10200,53,53055960100,530630000945,1.2973,1.12482,0.099399999,1.07054,1.12332,1.0676301,1.08254,0.005,0.892,0.029,0.052979998,0.4824,0.0921
"c(-122.2095, 47.1022)",98360,11507,53,53053070404,530645000953,1.24844,1.22329,0.047899999,1.20085,1.08324,1.09534,1.1946501,0.009,0.873,0.032,0.0087700002,0.2575,0.1619
"c(-119.1661, 46.8231)",99344,10600,53,53001950500,530648000957,1.19441,1.13537,0.02159,0.87738001,0.82906002,0.75238001,0.81217003,0,0.897,0.034,0.0079199998,0.0874,0.8092
"c(-119.103733, 46.238549)",99301,10701,53,53021020200,530657000969,1.2203799,1.05976,0.045899998,0.79996002,0.85843003,0.79007,0.71680999,0.007,0.758,0.142,0.0079699997,0.0691,0.8472
