,geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010,SAT_Total,SAT_Math,SAT_ERW
730,"c(-116.23874, 33.713418)",92201,6501.0,6,6065045207.0,61111001226,0.97749001,0.78720999,0.01511,0.59850001,0.68133998,0.68659002,0.62299001,0.018,0.382,0.578,0.01121,0.0714,0.8516,962.6449417085089,491.9346158420068,481.2641881462723
731,"c(-116.279697, 33.713362)",92253,6515.0,6,6065045215.0,61111003582,1.43594,1.40165,0.029859999,1.2583899,1.16378,1.09104,1.28303,0.03,0.766,0.156,0.01211,0.3035,0.3715,1065.7060747234586,527.4378328902122,534.115114362371
732,"c(-116.358333, 33.733922)",92260,6515.0,6,6065045119.0,61111008819,1.57742,1.4091901,0.041919999,1.2704901,1.3231601,1.20556,1.16406,0.03,0.766,0.156,0.034340002,0.2185,0.3846,1083.2218629777785,532.3562940266924,547.2400662188303
733,"c(-116.270319, 33.764903)",92203,6501.0,6,6065049400.0,61111012319,1.02179,1.01433,0.02603,0.85896999,0.82855999,0.88080001,0.82134998,0.018,0.382,0.578,0.0075900001,0.2025,0.4506,1001.5796598780212,503.7757852585525,502.3566433304467
734,"c(-121.817651, 38.437523)",95620,9503.0,6,6095253402.0,61128001251,1.36702,1.43752,0.03751,1.2906899,1.0474499,1.0066,1.2666399,0.048,0.717,0.105,0.0075099999,0.1664,0.5624,1076.9879519460933,532.0499876312649,539.4665575267252
735,"c(-118.1255, 33.9391)",90241,3753.0,6,6037550901.0,61146001264,1.31888,0.97062999,0.03028,0.85563999,1.05182,1.02356,0.87573999,0.05,0.329,0.521,0.017109999,0.2572,0.8097,1005.4865253260385,499.1527856655303,504.9927607473675
736,"c(-118.1403, 33.9357)",90241,3753.0,6,6037551300.0,61146001278,1.43224,1.02758,0.04135,0.90283,1.16389,1.1388201,0.91661,0.05,0.329,0.521,0.017109999,0.1158,0.8198,1021.4415430500774,514.2924321260349,519.4202877800071
737,"c(-117.970899, 34.136964)",91010,3710.0,6,6037430101.0,61152001284,1.26329,1.04642,0.03002,0.91861999,1.01309,0.97864997,0.91123003,0.044,0.318,0.394,0.0076899999,0.1998,0.7551,1014.5020292761824,506.10258322795283,508.3191804719553
738,"c(-121.803921, 39.64801)",95938,701.0,6,6007001500.0,61173001296,1.42498,1.40141,0.059739999,1.32529,1.17155,1.2252001,1.3629301,0.014,0.813,0.069,0.02108,0.3965,0.1656,1104.5685906171934,538.0076753563461,555.5483735013714
739,"c(-121.5268, 38.911757)",95659,10100.0,6,6101051100.0,61178001299,1.22188,1.26434,0.03528,1.19619,1.01977,1.02525,1.25904,0.025,0.692,0.131,0.013807677,0.2092,0.2822,1057.4472329298812,519.0408171705797,530.2691402330132
